metric,value
avg_q_ref_minus_raw,0.16185226329955563
num_pairs,145
q_quality_mae,0.06340152025222778
q_quality_pearson,0.6959359139916759
q_quality_r2,0.3118296559122208
q_quality_rmse,0.08168746531009674
q_quality_spearman,0.7511543660980838
ranking_acc,1.0
s_blur_mae,0.040740005671978
s_blur_pearson,0.49823774822994943
s_blur_r2,0.22304735806296971
s_blur_rmse,0.06005753204226494
s_blur_spearman,0.6412868874106412
s_color_mae,0.04879205673933029
s_color_pearson,0.9416388075036225
s_color_r2,0.8736867791093801
s_color_rmse,0.06486629694700241
s_color_spearman,0.8975311117316169
s_contrast_mae,0.05537816882133484
s_contrast_pearson,0.9299505402324124
s_contrast_r2,0.8446239996694918
s_contrast_rmse,0.07241521030664444
s_contrast_spearman,0.9240009004166273
s_visibility_proxy_mae,0.03815167397260666
s_visibility_proxy_pearson,0.914111771612497
s_visibility_proxy_r2,0.8223881442018988
s_visibility_proxy_rmse,0.051566723734140396
s_visibility_proxy_spearman,0.8863073938720005
