metric,value
avg_q_ref_minus_raw,0.20320577978573998
num_pairs,145
q_quality_mae,0.08317165821790695
q_quality_pearson,0.6198910439145616
q_quality_r2,-0.09359482991637669
q_quality_rmse,0.10297591239213943
q_quality_spearman,0.6680208178292333
ranking_acc,0.993103448275862
s_blur_mae,0.05195385590195656
s_blur_pearson,0.41927767903340274
s_blur_r2,0.011761107767002787
s_blur_rmse,0.06773313879966736
s_blur_spearman,0.5846087800461771
s_color_mae,0.05672172084450722
s_color_pearson,0.9229530660949016
s_color_r2,0.8342595486601292
s_color_rmse,0.07430344820022583
s_color_spearman,0.8660593364716708
s_contrast_mae,0.06548377871513367
s_contrast_pearson,0.9039646609069585
s_contrast_r2,0.8083025909718451
s_contrast_rmse,0.08043516427278519
s_contrast_spearman,0.8978100932767662
s_visibility_proxy_mae,0.051099713891744614
s_visibility_proxy_pearson,0.8529671973919007
s_visibility_proxy_r2,0.7272173500384446
s_visibility_proxy_rmse,0.06390604376792908
s_visibility_proxy_spearman,0.8044954407182667
