metric,value
avg_q_ref_minus_raw,0.17241602589472615
num_pairs,145
q_quality_mae,0.1039150133728981
q_quality_pearson,0.4448246658490939
q_quality_r2,-0.8363167478300564
q_quality_rmse,0.13343852758407593
q_quality_spearman,0.55013020368851
ranking_acc,0.9793103448275862
s_blur_mae,0.05007321015000343
s_blur_pearson,0.307677465592107
s_blur_r2,-0.019182371726588876
s_blur_rmse,0.06878538429737091
s_blur_spearman,0.4547937959818293
s_color_mae,0.09471940249204636
s_color_pearson,0.7324256118394479
s_color_r2,0.5185858430695975
s_color_rmse,0.1266351044178009
s_color_spearman,0.7148262454225746
s_contrast_mae,0.09745797514915466
s_contrast_pearson,0.7354289967861269
s_contrast_r2,0.5295901786059667
s_contrast_rmse,0.12600159645080566
s_contrast_spearman,0.713374262107344
s_visibility_proxy_mae,0.07317253202199936
s_visibility_proxy_pearson,0.6713084962725154
s_visibility_proxy_r2,0.44579513266808835
s_visibility_proxy_rmse,0.09108959138393402
s_visibility_proxy_spearman,0.589861702402464
