metric,value
avg_q_ref_minus_raw,-0.0006589844309050462
num_pairs,145
q_quality_mae,0.10161788761615753
q_quality_pearson,-0.1370218581467858
q_quality_r2,-0.5798464277199289
q_quality_rmse,0.1237698495388031
q_quality_spearman,-0.16983555095779973
ranking_acc,0.496551724137931
s_blur_mae,0.10401178896427155
s_blur_pearson,-0.12174773532090806
s_blur_r2,-2.207542678997306
s_blur_rmse,0.12202714383602142
s_blur_spearman,-0.21063379866755702
s_color_mae,0.1577054262161255
s_color_pearson,0.11278022430738491
s_color_r2,-0.05763807909662533
s_color_rmse,0.187699556350708
s_color_spearman,0.07641954002487217
s_contrast_mae,0.15747524797916412
s_contrast_pearson,-0.020358675649860068
s_contrast_r2,-0.008271376850180978
s_contrast_rmse,0.18447034060955048
s_contrast_spearman,0.002417594042489332
s_visibility_proxy_mae,0.09357055276632309
s_visibility_proxy_pearson,0.16695600155347126
s_visibility_proxy_r2,-0.027692940289723023
s_visibility_proxy_rmse,0.12404100596904755
s_visibility_proxy_spearman,0.1483862182607724
