metric,value
avg_q_ref_minus_raw,-0.0017774509201789724
num_pairs,145
q_quality_mae,0.08359721302986145
q_quality_pearson,0.13193395821395296
q_quality_r2,-0.28507765944205676
q_quality_rmse,0.1116277351975441
q_quality_spearman,0.14382089089582845
ranking_acc,0.5103448275862069
s_blur_mae,0.0701441764831543
s_blur_pearson,-0.06492128939863906
s_blur_r2,-0.6493945983413105
s_blur_rmse,0.08750492334365845
s_blur_spearman,-0.047363144668168176
s_color_mae,0.14857295155525208
s_color_pearson,0.1951674982716651
s_color_r2,0.031611975496481315
s_color_rmse,0.1796054095029831
s_color_spearman,0.16196551601130194
s_contrast_mae,0.1578664779663086
s_contrast_pearson,0.100807341761152
s_contrast_r2,-0.011266899691834142
s_contrast_rmse,0.18474417924880981
s_contrast_spearman,0.09062152118746748
s_visibility_proxy_mae,0.09553948789834976
s_visibility_proxy_pearson,0.22173933885444627
s_visibility_proxy_r2,0.02095467955701047
s_visibility_proxy_rmse,0.12106956541538239
s_visibility_proxy_spearman,0.13733887524186394
